Chapter_Number,Chapter_English,Hadith_number,English_Hadith,English_Grade
8.0,Prayers (Salat),359,"Narrated Abu Huraira: The Prophet (ﷺ) said, ""None of you should offer prayer in a single garment that does not cover theshoulders.""",Sahih-Authentic
8.0,Prayers (Salat),360,"Narrated Abu Huraira: Allah's Messenger (ﷺ) said, ""Whoever prays in a single garment must cross its ends (over the shoulders).",Sahih-Authentic
8.0,Prayers (Salat),361,"Narrated Sa`id bin Al-Harith: I asked Jabir bin `Abdullah about praying in a single garment. He said, ""I traveled with the Prophet (ﷺ)during some of his journeys, and I came to him at night for some purpose and I found him praying. Atthat time, I was wearing a single garment with which I covered my shoulders and prayed by his side.When he finished the prayer, he asked, 'O Jabir! What has brought you here?' I told him what Iwanted. When I finished, he asked, 'O Jabir! What is this garment which I have seen and with whichyou covered your shoulders?' I replied, 'It is a (tight) garment.' He said, 'If the garment is largeenough, wrap it round the body (covering the shoulders) and if it is tight (too short) then use it as anIzar (tie it around your waist only.)' """,Sahih-Authentic
8.0,Prayers (Salat),362,Narrated Sahl: The men used to pray with the Prophet (ﷺ) with their Izars tied around their necks as boys used to do;therefore the Prophet (ﷺ) told the women not to raise their heads till the men sat down straight (whilepraying).,Sahih-Authentic
8.0,Prayers (Salat),363,"Narrated Mughira bin Shu`ba: Once I was traveling with the Prophet (ﷺ) and he said, ""O Mughira! take this container of water."" I took itand Allah's Messenger (ﷺ) went far away till he disappeared. He answered the call of nature and was wearinga Syrian cloak. He tried to take out his hands from its sleeve but it was very tight so he took out hishands from under it. I poured water and he performed ablution like that for prayers and passed his wethands over his Khuff (socks made from thick fabric or leather) and then prayed .",Sahih-Authentic
8.0,Prayers (Salat),364,"Narrated Jabir bin `Abdullah: While Allah's Messenger (ﷺ) was carrying stones (along) with the people of Mecca for (the building of) theKa`ba wearing an Izar (waist-sheet cover), his uncle Al-`Abbas said to him, ""O my nephew! (It wouldbe better) if you take off your Izar and put it over your shoulders underneath the stones."" So he tookoff his Izar and put it over his shoulders, but he fell unconscious and since then he had never beenseen naked.",Sahih-Authentic
8.0,Prayers (Salat),365,"Narrated Abu Huraira: A man stood up and asked the Prophet (ﷺ) about praying in a single garment. The Prophet (ﷺ) said, ""Hasevery one of you two garments?"" A man put a similar question to `Umar on which he replied, ""WhenAllah makes you wealthier then you should clothe yourself properly during prayers. Otherwise onecan pray with an Izar and a Rida' (a sheet covering the upper part of the body.) Izar and a shirt, Izarand a Qaba', trousers and a Rida, trousers and a shirt or trousers and a Qaba', Tubban and a Qaba' orTubban and a shirt."" (The narrator added, ""I think that he also said a Tubban and a Rida. "")",Sahih-Authentic
8.0,Prayers (Salat),366,"Narrated Ibn `Umar: A person asked Allah's Messenger (ﷺ), ""What should a Muhrim wear?"" He replied, ""He should not wearshirts, trousers, a burnus (a hooded cloak), or clothes which are stained with saffron or Wars (a kind ofperfume). Whoever does not find a sandal to wear can wear Khuffs (socks made from thick fabric orleather), but these should be cut short so as not to cover the ankles.",Sahih-Authentic
8.0,Prayers (Salat),367,"Narrated Abu Sa`id Al-Khudri: Allah's Messenger (ﷺ) forbade Ishtimal-As-Samma' (wrapping one's body with a garment so that one cannotraise its end or take one's hand out of it). He also forbade Al-Ihtiba' (sitting on buttocks with kneesclose to `Abdomen and feet apart with the hands circling the knees) while wrapping oneself with asingle garment, without having a part of it over the private parts.",Sahih-Authentic
8.0,Prayers (Salat),368,"Narrated Abu Huraira: The Prophet (ﷺ) forbade two kinds of sales i.e. Al-Limais and An-Nibadh (the former is a kind of sale inwhich the deal is completed if the buyer touches a thing, without seeing or checking it properly andthe latter is a kind of a sale in which the deal is completed when the seller throws a thing towards thebuyer giving him no opportunity to see, touch or check it) and (the Prophet (ﷺ) forbade) also Ishtimal-As-Samma' and Al-Ihtiba' in a single garment.",Sahih-Authentic
8.0,Prayers (Salat),369,"Narrated Abu Huraira: On the Day of Nahr (10th of Dhul-Hijja, in the year prior to the last Hajj of the Prophet (ﷺ) when AbuBakr was the leader of the pilgrims in that Hajj) Abu Bakr sent me along with other announcers toMina to make a public announcement: ""No pagan is allowed to perform Hajj after this year and nonaked person is allowed to perform the Tawaf around the Ka`ba. Then Allah's Messenger (ﷺ) sent `Ali toread out the Surat Bara'a (at-Tauba) to the people; so he made the announcement along with us on theday of Nahr in Mina: ""No pagan is allowed to perform Hajj after this year and no naked person isallowed to perform the Tawaf around the Ka`ba.""",Sahih-Authentic
8.0,Prayers (Salat),370,"Narrated Muhammad bin Al-Munkadir: I went to Jabir bin `Abdullah and he was praying wrapped in a garment and his Rida was Lying besidehim. When he finished the prayers, I said ""O `Abdullah! You pray (in a single garment) while yourRida' is lying beside you."" He replied, ""Yes, I did it intentionally so that the ignorant ones like youmight see me. I saw the Prophet (ﷺ) praying like this. """,Sahih-Authentic
8.0,Prayers (Salat),371,"Narrated `Abdul `Aziz: Anas said, 'When Allah's Messenger (ﷺ) invaded Khaibar, we offered the Fajr prayer there (early in themorning) when it was still dark. The Prophet (ﷺ) rode and Abu Talha rode too and I was riding behindAbu Talha. The Prophet (ﷺ) passed through the lane of Khaibar quickly and my knee was touching thethigh of the Prophet (ﷺ) . He uncovered his thigh and I saw the whiteness of the thigh of the Prophet.When he entered the town, he said, 'Allahu Akbar! Khaibar is ruined. Whenever we approach near a(hostile) nation (to fight) then evil will be the morning of those who have been warned.' He repeatedthis thrice. The people came out for their jobs and some of them said, 'Muhammad (has come).' (Someof our companions added, ""With his army."") We conquered Khaibar, took the captives, and the bootywas collected. Dihya came and said, 'O Allah's Prophet! Give me a slave girl from the captives.' TheProphet said, 'Go and take any slave girl.' He took Safiya bint Huyai. A man came to the Prophet (ﷺ) andsaid, 'O Allah's Messenger (ﷺ)s! You gave Safiya bint Huyai to Dihya and she is the chief mistress of thetribes of Quraidha and An-Nadir and she befits none but you.' So the Prophet (ﷺ) said, 'Bring him alongwith her.' So Dihya came with her and when the Prophet (ﷺ) saw her, he said to Dihya, 'Take any slavegirl other than her from the captives.' Anas added: The Prophet (ﷺ) then manumitted her and married her.""Thabit asked Anas, ""O Abu Hamza! What did the Prophet (ﷺ) pay her (as Mahr)?"" He said, ""Her self washer Mahr for he manumitted her and then married her."" Anas added, ""While on the way, Um Sulaimdressed her for marriage (ceremony) and at night she sent her as a bride to the Prophet (ﷺ) . So theProphet was a bridegroom and he said, 'Whoever has anything (food) should bring it.' He spread out aleather sheet (for the food) and some brought dates and others cooking butter. (I think he (Anas)mentioned As-Sawaq). So they prepared a dish of Hais (a kind of meal). And that was Walima (themarriage banquet) of Allah's Messenger (ﷺ) .""",Sahih-Authentic
8.0,Prayers (Salat),372,Narrated `Aisha: Allah's Messenger (ﷺ) used to offer the Fajr prayer and some believing women covered with their veilingsheets used to attend the Fajr prayer with him and then they would return to their homes unrecognized.,Sahih-Authentic
8.0,Prayers (Salat),373,"Narrated `Aisha: the Prophet (ﷺ) prayed in a Khamisa (a square garment) having marks. During the prayer, he looked at itsmarks. So when he finished the prayer he said, ""Take this Khamisa of mine to Abu Jahm and get mehis Inbijaniya (a woolen garment without marks) as it (the Khamisa) has diverted my attention fromthe prayer."" Narrated `Aisha:The Prophet (ﷺ) said, 'I was looking at its (Khamisa's) marks during the prayers and I was afraid that itmay put me in trial (by taking away my attention).",Sahih-Authentic
8.0,Prayers (Salat),374,"Narrated Anas: `Aisha had a Qiram (a thin marked woolen curtain) with which she had screened one side of her home.The Prophet (ﷺ) said, ""Take away this Qiram of yours, as its pictures are still displayed in front of meduring my prayer (i.e. they divert my attention from the prayer).",Sahih-Authentic
8.0,Prayers (Salat),375,"Narrated `Uqba bin 'Amir: The Prophet (ﷺ) was given a silken Farruj [??] as a present. He wore it while praying. When he hadfinished his prayer, he took it off violently as if with a strong aversion to it and said, ""It is not thedress of Allah-fearing pious people.""",Sahih-Authentic
8.0,Prayers (Salat),376,"Narrated Abu Juhaifa: I saw Allah's Messenger (ﷺ) in a red leather tent and I saw Bilal taking the remaining water with which theProphet had performed ablution. I saw the people taking the utilized water impatiently and whoevergot some of it rubbed it on his body and those who could not get any took the moisture from theothers' hands. Then I saw Bilal carrying a short spear (or stick) which he planted in the ground. TheProphet came out tucking up his red cloak, and led the people in prayer and offered two rak`at (facingthe Ka`ba) taking a short spear (or stick) as a Sutra for his prayer. I saw the people and animalspassing in front of him beyond the stick.",Sahih-Authentic
8.0,Prayers (Salat),377,"Narrated Abu Hazim: Sahl bin Sa`d was asked about the (Prophet's) pulpit as to what thing it was made of? Sahl replied:""None remains alive amongst the people, who knows about it better than I. It was made of tamarisk(wood) of the forest. So and so, the slave of so and so prepared it for Allah's Messenger (ﷺ) . When it wasconstructed and place (in the Mosque), Allah's Messenger (ﷺ) stood on it facing the Qibla and said 'AllahuAkbar', and the people stood behind him (and led the people in prayer). He recited and bowed and thepeople bowed behind him. Then he raised his head and stepped back, got down and prostrated on theground and then he again ascended the pulpit, recited, bowed, raised his head and stepped back, gotdown and prostrate on the ground. So, this is what I know about the pulpit.""Ahmad bin Hanbal said, ""As the Prophet (ﷺ) was at a higher level than the people, there is no harmaccording to the above-mentioned Hadith if the Imam is at a higher level than his followers during theprayers.""",Sahih-Authentic
8.0,Prayers (Salat),378,"Narrated Anas bin Malik: Once Allah's Messenger (ﷺ) fell off a horse and his leg or shoulder got injured. He swore that he would notgo to his wives for one month and he stayed in a Mashruba [??] (attic room) having stairs made ofdate palm trunks. So his companions came to visit him, and he led them in prayer sitting, whereas hiscompanions were standing. When he finished the prayer, he said, ""Imam is meant to be followed, sowhen he says 'Allahu Akbar,' say 'Allahu Akbar' and when he bows, bow and when he prostrates,prostrate and if he prays standing pray, standing. After the 29th day the Prophet (ﷺ) came down (from theattic room) and the people asked him, ""O Allah's Messenger (ﷺ)! You swore that you will not go to yourwives for one month."" He said, ""The month is 29 days.""",Sahih-Authentic
8.0,Prayers (Salat),379,"Narrates `Abdullah bin Shaddad: Maimuna said, ""Allah's Messenger (ﷺ) was praying while I was in my menses, sitting beside him andsometimes his clothes would touch me during his prostration."" Maimuna added, ""He prayed on aKhumra (a small mat sufficient just for the face and the hands while prostrating during prayers).",Sahih-Authentic
8.0,Prayers (Salat),380,"Narrated 'Is-haq: Anas bin Malik said, ""My grandmother Mulaika invited Allah's Messenger (ﷺ) for a meal which she herselfhad prepared. He ate from it and said, 'Get up! I will lead you in the prayer.' "" Anas added, ""I took myHasir, washed it with water as it had become dark because of long use and Allah's Messenger (ﷺ) stood on it.The orphan (Damira or Ruh) and I aligned behind him and the old lady (Mulaika) stood behind us.Allah's Messenger (ﷺ) led us in the prayer and offered two rak`at and then left.""",Sahih-Authentic
8.0,Prayers (Salat),381,Narrated Maimuna: Allah's Messenger (ﷺ) used to pray on Khumra.,Sahih-Authentic
8.0,Prayers (Salat),382,"Narrated Abu Salama: `Aisha the wife of the Prophet (ﷺ) said, ""I used to sleep in front o Allah's Messenger (ﷺ) and my legs wereopposite his Qibla and in prostration he pushed my legs and I withdrew then and when he stood, Istretched them.' `Aisha added, ""In those days the houses were without lights.""",Sahih-Authentic
8.0,Prayers (Salat),383,Narrated `Aisha: Allah Apostle prayed while I was lying like a dead body on his family bed between him and his Qibla.,Sahih-Authentic
8.0,Prayers (Salat),384,Narrated `Urwa: The Prophet (ﷺ) prayed while `Aisha was lying between him and his Qibla on the bed on which they usedto sleep.,Sahih-Authentic
8.0,Prayers (Salat),385,Narrated Anas bin Malik: We used to pray with the Prophet (ﷺ) and some of us used to place the ends of their clothes at the place ofprostration because of scorching heat.,Sahih-Authentic
8.0,Prayers (Salat),386,"Narrated Abu Maslama: Sa`id bin Yazid Al-Azdi: I asked Anas bin Malik whether the Prophet (ﷺ) had ever, prayed with his shoeson. He replied ""Yes.""",Sahih-Authentic
8.0,Prayers (Salat),387,"Narrated Ibrahim: Hammam bin Al-Harith said, ""I saw Jarir bin `Abdullah urinating. Then he performed ablution andpassed his (wet) hands over his Khuffs (socks made from thick fabric or leather), stood up and prayed.He was asked about it. He replied that he had seen the Prophet (ﷺ) doing the same."" They approved of thisnarration as Jarir was one of those who embraced Islam very late.",Sahih-Authentic
8.0,Prayers (Salat),388,Narrated Al-Mughira bin Shu'ba: I helped the Prophet (ﷺ) in performing ablution and he passed his wethands over his Khuffs and prayed.,Sahih-Authentic
8.0,Prayers (Salat),389,"Narrated Hudhaifa that he saw a person bowing and prostrating imperfectly. When he finished his Salat, Hudhaifa told him that he had not offered Salat. The subnarrator added, ""I think that Hudhaifa also said: Were you to die you would die on a ""Sunna"" (legal way) other than that of Muhammad (ﷺ).""",Sahih-Authentic
8.0,Prayers (Salat),390,"Narrated 'Abdullah bin Malik: Ibn Buhaina, ""When the Prophet (ﷺ) prayed, he used to separate his armsfrom his body so widely that the whiteness of his armpits wasvisible.""",Sahih-Authentic
8.0,Prayers (Salat),391,"Narrated Anas bin Malik: Allah's Messenger (ﷺ) said, ""Whoever prays like us and faces our Qibla and eats our slaughtered animals is aMuslim and is under Allah's and His Apostle's protection. So do not betray Allah by betraying thosewho are in His protection.""",Sahih-Authentic
8.0,Prayers (Salat),392,"Narrated Anas bin Malik: Allah's Messenger (ﷺ) said, ""I have been ordered to fight the people till they say: 'None has the right to beworshipped but Allah.' And if they say so, pray like our prayers, face our Qibla and slaughter as weslaughter, then their blood and property will be sacred to us and we will not interfere with them exceptlegally and their reckoning will be with Allah.""",Sahih-Authentic
8.0,Prayers (Salat),393,"Narrated Abu Aiyub Al-Ansari: Narrated Maimun bin Siyah that he asked Anas binMalik, ""O Abu Hamza! What makes the life and property of a person sacred?"" He replied, ""Whoeversays, 'None has the right to be worshipped but Allah', faces our Qibla during the prayers, prays like usand eats our slaughtered animal, then he is a Muslim, and has got the same rights and obligations asother Muslims have.""",Sahih-Authentic
8.0,Prayers (Salat),394,"Narrated Abu Aiyub Al-Ansari: The Prophet (ﷺ) said, ""While defecating, neither face nor turn your back to the Qibla but face either eastor west."" Abu Aiyub added. ""When we arrived in Sham we came across some lavatories facing theQibla; therefore we turned ourselves while using them and asked for Allah's forgiveness.""",Sahih-Authentic
8.0,Prayers (Salat),395,"Narrated `Amr bin Dinar: I asked Ibn `Umar, ""Can a person who has performed the Tawaf around the Ka`ba for `Umra but hasnot performed the (Sa`i) Tawaf of Safa and Marwa, have a sexual relation with his wife?"" Ibn `Umarreplied ""When the Prophet (ﷺ) reached Mecca he performed the Tawaf around the Ka`ba(circumambulated it seven times) and offered a two-rak`at prayer (at the place) behind the station (ofAbraham) and then performed the Tawaf (Sa`i) of Safa and Marwa, and verily in Allah's Messenger (ﷺ) youhave a good example."" Then we put the same question to Jabir bin `Abdullah and he too replied, ""Heshould not go near his wife (for sexual relation) till he has finished the Tawaf of Safa and Marwa.""",Sahih-Authentic
8.0,Prayers (Salat),396,"Narrated Mujahid: Someone came to Ibn `Umar and said, ""Here is Allah's Messenger (ﷺ) entering the Ka`ba."" Ibn `Umar said,""I went there but the Prophet (ﷺ) had come out of the Ka`ba and I found Bilal standing between its twodoors. I asked Bilal, 'Did the Prophet (ﷺ) pray in the Ka`ba?' Bilal replied, 'Yes, he prayed two rak`atbetween the two pillars which are to your left on entering the Ka`ba. Then Allah's Messenger (ﷺ) came outand offered a two-rak`at prayer facing the Ka`ba.' """,Sahih-Authentic
8.0,Prayers (Salat),397,"Narrated Ibn `Abbas: When the Prophet (ﷺ) entered the Ka`ba, he invoked Allah in each and every side of it and did not praytill he came out of it, and offered a two-rak`at prayer facing the Ka`ba and said, ""This is the Qibla.""",Sahih-Authentic
8.0,Prayers (Salat),398,"Narrated Bara' bin `Azib: Allah's Messenger (ﷺ) prayed facing Baitul-Maqdis for sixteen or seventeen months but he loved to face theKa`ba (at Mecca) so Allah revealed: ""Verily, We have seen the turning of your face to the heaven!""(2:144) So the Prophet (ﷺ) faced the Ka`ba and the fools amongst the people namely ""the Jews"" said,""What has turned them from their Qibla (Baitul-Maqdis) which they formerly observed"""" (Allahrevealed): ""Say: 'To Allah belongs the East and the West. He guides whom he will to a straight path'.""(2:142) A man prayed with the Prophet (facing the Ka`ba) and went out. He saw some of the Ansarpraying the `Asr prayer with their faces towards Baitul-Maqdis, he said, ""I bear witness that I prayedwith Allah's Messenger (ﷺ) facing the Ka`ba."" So all the people turned their faces towards the Ka`ba.",Sahih-Authentic
8.0,Prayers (Salat),399,"Narrated Jabir: Allah's Messenger (ﷺ) used to pray (optional, non-obligatory prayer) while riding on his mount (Rahila)wherever it turned, and whenever he wanted to pray the compulsory prayer he dismounted and prayedfacing the Qibla.",Sahih-Authentic
8.0,Prayers (Salat),400,"Narrated `Abdullah: The Prophet (ﷺ) prayed (and the sub-narrator Ibrahim said, ""I do not know whether he prayed more or lessthan usual""), and when he had finished the prayers he was asked, ""O Allah's Messenger (ﷺ)! Has there beenany change in the prayers?"" He said, ""What is it?' The people said, ""You have prayed so much and somuch."" So the Prophet (ﷺ) bent his legs, faced the Qibla and performed two prostration's (of Sahu) andfinished his prayers with Taslim (by turning his face to right and left saying: 'As-Salamu `Alaikum-Warahmat-ullah'). When he turned his face to us he said, ""If there had been anything changed in theprayer, surely I would have informed you but I am a human being like you and liable to forget likeyou. So if I forget remind me and if anyone of you is doubtful about his prayer, he should follow whathe thinks to be correct and complete his prayer accordingly and finish it and do two prostrations (ofSahu).",Sahih-Authentic
8.0,Prayers (Salat),401,"Narrated `Umar (bin Al-Khattab): My Lord agreed with me in three things:-1. I said, ""O Allah's Messenger (ﷺ), I wish we took the station of Abraham as our praying place (for some ofour prayers). So came the Divine Inspiration: And take you (people) the station of Abraham as a placeof prayer (for some of your prayers e.g. two rak`at of Tawaf of Ka`ba)"". (2.125)-2. And as regards the (verse of) the veiling of the women, I said, 'O Allah's Messenger (ﷺ)! I wish youordered your wives to cover themselves from the men because good and bad ones talk to them.' So theverse of the veiling of the women was revealed.-3. Once the wives of the Prophet (ﷺ) made a united front against the Prophet (ﷺ) and I said to them, 'It maybe if he (the Prophet) divorced you, (all) that his Lord (Allah) will give him instead of you wivesbetter than you.' So this verse (the same as I had said) was revealed."" (66.5).",Sahih-Authentic
8.0,Prayers (Salat),402,Narrated Anas: as above .,Sahih-Authentic
8.0,Prayers (Salat),403,"Narrated `Abdullah bin `Umar: While the people were offering the Fajr prayer at Quba' (near Medina), someone came to them andsaid: ""It has been revealed to Allah's Messenger (ﷺ) tonight, and he has been ordered to pray facing theKa`ba."" So turn your faces to the Ka`ba. Those people were facing Sham (Jerusalem) so they turnedtheir faces towards Ka`ba (at Mecca).",Sahih-Authentic
8.0,Prayers (Salat),404,"Narrated `Abdullah: ""Once the Prophet (ﷺ) offered five rak`at in Zuhr prayer. He was asked, ""Is there an increase in theprayer?"" The Prophet (ﷺ) said, ""And what is it?"" They said, ""You have prayed five rak`at.' So he bent hislegs and performed two prostrations (of Sahu).",Sahih-Authentic
8.0,Prayers (Salat),405,"Narrated Anas bin Malik: The Prophet (ﷺ) saw some sputum in the direction of the Qibla (on the wall of the mosque) and hedisliked that and the sign of disgust was apparent from his face. So he got up and scraped it off withhis hand and said, ""Whenever anyone of you stands for the prayer, he is speaking in private to hisLord or his Lord is between him and his Qibla. So, none of you should spit in the direction of theQibla but one can spit to the left or under his foot."" The Prophet (ﷺ) then took the corner of his sheet andspat in it and folded it and said, ""Or you can do this. """,Sahih-Authentic
8.0,Prayers (Salat),406,"Narrated `Abdullah bin `Umar: Allah's Messenger (ﷺ) saw sputum on the wall of the mosque in the direction of the Qibla and scraped it off.He faced the people and said, ""Whenever any one of you is praying, he should not spit in front of himbecause in the prayer Allah is in front of him.""",Sahih-Authentic
8.0,Prayers (Salat),407,"Narrated `Aisha: (the mother of faithful believers) Allah's Messenger (ﷺ) saw some nasal secretions, expectoration or sputumon the wall of the mosque in the direction of the Qibla and scraped it off.",Sahih-Authentic
8.0,Prayers (Salat),408-409,"Narrated Abu Huraira and Abu Sa`id: Allah's Messenger (ﷺ) saw some expectoration on the wall of the mosque; he took gravel and scraped it offand said, ""If anyone of you wanted to spit he should neither spit in front of him nor on his right but hecould spit either on his left or under his left foot.""",Sahih-Authentic
8.0,Prayers (Salat),410-411,"Narrated Abu Huraira and Abu Sa`id: Allah's Messenger (ﷺ) saw some expectoration on the wall of the mosque; he took gravel and scraped it offand said, ""If anyone of you wanted to spit, he should neither spit in front of him nor on his right butcould spit either on his left or under his left foot.""",Sahih-Authentic
8.0,Prayers (Salat),412,"Narrated Anas: The Prophet (ﷺ) said, ""None of you should spit in front or on his right but he could spit either on his leftor under his foot.""",Sahih-Authentic
8.0,Prayers (Salat),413,"Narrated Anas bin Malik: The Prophet (ﷺ) said, ""A faithful believer while in prayer is speaking in private to his Lord, so he shouldneither spit in front of him nor to his right side but he could spit either on his left or under his foot.""",Sahih-Authentic
8.0,Prayers (Salat),414,"Narrated Abu Sa`id: The Prophet (ﷺ) saw sputum on (the wall of) the mosque in the direction of the Qibla and scraped it offwith gravel. Then he forbade Spitting in front or on the right, but allowed it on one's left or underone's left foot.",Sahih-Authentic
8.0,Prayers (Salat),415,"Narrated Anas bin Malik: The Prophet (ﷺ) said, ""Spitting in the mosque is a sin and its expiation is to bury it.""",Sahih-Authentic
8.0,Prayers (Salat),416,"Narrated Abu Huraira: Prophet said, ""If anyone of you stands for prayer, he should not spit in front of him because in prayerhe is speaking in private to Allah and he should not spit on his right as there is an angel, but he canspit either on his left or under his left foot and bury it (i.e. expectoration).",Sahih-Authentic
8.0,Prayers (Salat),417,"Narrated Anas: The Prophet (ﷺ) saw expectoration (on the wall of the mosque) in the direction of the Qibla and scraped itoff with his hand. It seemed that he disliked it and the sign of disgust was apparent from his face. Hesaid, ""If anyone of you stands for the prayer, he is speaking in private to his Lord, (or) his Lord isbetween him and his Qibla, therefore he should not spit towards his Qibla, but he could spit either onhis left or under his foot."" Then he took the corner of his sheet and spat in it, folded it and said, ""Or dothis.""",Sahih-Authentic
8.0,Prayers (Salat),418,"Narrated Abu Huraira: Allah's Messenger (ﷺ) said, ""Do you consider or see that my face is towards the Qibla? By Allah, neitheryour submissiveness nor your bowing is hidden from me, surely I see you from my back.""",Sahih-Authentic
