ID,Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
2017-En-21765,wittyneeraj shehla rashid amp kaniyah kumar saying say truth indians threaten fakedemocracy,0,0,1,1,0,0,0,0,0,0,0
2017-En-40226,clue charger lost,0,0,0,1,0,0,0,0,1,0,0
2017-En-30799,laurenbrierley sparkling water death,0,0,0,1,0,0,0,1,0,0,0
2017-En-20409,jade unfortunately diet still wait till friday im afraid,0,0,0,1,0,0,0,0,1,0,0
2017-En-30255,im playful lol need somebody thatll joke day long cause ill never get tired,0,0,0,0,1,1,1,0,0,0,0
2017-En-22184,pats awesome belichick awesome awestruck,0,0,0,0,1,1,0,0,0,0,0
2017-En-22019,beginning process see working option mentalhealth complexptsd,0,0,0,0,1,0,0,0,1,0,0
2017-En-40552,im onto sargonofakkad know secretly pine masculine order objective morality disciplined transcendent pursuits,0,1,0,0,1,0,0,0,0,0,0
2017-En-11332,radiox chrismoyles wow heard forever random great sting xph,0,0,0,0,1,0,0,0,0,0,0
2017-En-41428,lost lbs since got married eating healthy amp ive gone mile mile weeks areyousureimagedout fitness,0,0,0,0,1,0,1,0,0,0,0
2017-En-10844,aurena angryorchard didnt sting luckily flew happy drunk lolololol,0,0,0,0,1,0,1,0,0,1,0
2017-En-30640,backed pats pleasing,0,1,0,0,1,0,1,0,0,0,1
2017-En-30645,gkn lively well mad quick,0,0,0,0,1,0,1,0,0,0,0
2017-En-30013,morning started amazing hopefully whole day going want gon greatday,0,0,0,0,1,1,1,0,0,0,0
2017-En-41179,phil nso sadden nspunky beautiful dogna sad story lovely happynan loved dog nplay little one fun younare loved,0,0,0,0,1,1,1,0,1,0,0
2017-En-10652,also ppl love whole damn lot erica joanna tiff sirli harley anja rest gc bc ran chara,0,0,0,0,1,1,1,0,0,0,0
2017-En-30028,singaholic good morning love happy first day fall lets make awesome autumnmemories annabailey,0,0,0,0,1,1,1,0,0,0,0
2017-En-30907,gbbo cheer,0,0,0,0,1,1,1,0,0,0,0
2017-En-21138,ive rooting since beginning bb,0,1,0,0,0,1,0,0,0,0,1
2017-En-30954,want let everyone know wonderful people beyourself latenight compliment behappy,0,0,0,0,1,1,1,0,0,0,0
2017-En-21412,girl new school pretty,0,1,0,0,1,1,1,0,0,0,1
2017-En-22081,mcrichard awe thats adorable,0,0,0,0,1,1,1,0,0,0,0
2017-En-30757,noah fence want harley quinn blake lively layout,0,0,0,0,1,1,1,0,0,0,0
2017-En-30579,devilligan beautifully sincere balancing act grief hilarity,0,0,0,0,1,1,1,0,0,0,0
2017-En-31340,jtkola danmericacnn shes still younger spry trump,0,1,0,0,1,1,1,0,0,1,1
2017-En-21132,make great tasting shake words describe herbalifenutrition tastesogood nowords,0,0,0,0,1,0,1,0,0,0,0
2017-En-10917,think defense usc playing well need fix things offense win pac year,0,1,0,0,1,0,1,0,0,0,0
2017-En-30234,ever use like smiling realized good teeth look witout braces,0,0,0,0,1,0,1,0,0,0,0
2017-En-21938,complained head called despair gods mercy sins go back ask forgiveness,0,0,0,0,0,0,1,0,0,0,0
2017-En-21906,idinamenzel says shes releasing idinaparty tickets set alarm miss fingerscrossed idina,0,1,0,0,1,0,1,0,0,0,1
2017-En-20398,focus issue ipca ihfokids indulges intimidation bringroshnihome childrensissues meaindia ministrywcd stopcruelty,0,0,0,1,0,0,1,0,0,0,0
2017-En-30394,aimisyafiqahr go check bf hell give u strength one smile topno,0,0,0,0,1,1,1,0,0,0,0
2017-En-30026,wsjnordics make world joyful place thenicebot,0,0,0,0,1,1,1,0,0,0,1
2017-En-21276,ecosystem meant break thru wall apprehension easy follow fave music star amp watch goings onbut dentists,0,1,0,1,0,0,1,0,0,1,0
2017-En-31265,news im supposed damn happy rejoicing im like,0,0,1,0,1,0,0,1,1,0,0
2017-En-41159,written africanamericannnno refuge could save hireling slavenfrom terror flight gloom grave,0,0,0,0,0,0,0,1,1,0,0
2017-En-10067,thing feed naay raging something brother filling gaps,1,0,1,0,0,0,0,1,0,0,0
2017-En-10485,got angry telling would year old guy looking girl like felt,1,0,1,0,0,0,0,1,0,0,0
2017-En-30711,god facebooks design started remind myspace heyday,0,0,1,0,0,0,0,1,0,0,0
2017-En-20426,myaeggs cant get better look bc im shy make eye contact,0,0,0,1,0,0,0,1,1,0,0
2017-En-20788,rowillfindyou eric couldnt help laugh though made wince pain hurt lot wanted sit somewhere,0,0,1,0,0,0,0,1,1,0,0
2017-En-10391,miss nothing someone care attacking face kisses foreveralone bitter,0,0,0,0,0,0,0,1,1,0,0
2017-En-41232,feel really sad today,0,0,0,0,0,0,0,1,1,0,0
2017-En-20785,sure men handle woman thats got crap together intimidation independent,1,0,1,0,0,0,0,1,1,0,0
2017-En-30479,give cheerfully accept gratefully everyone blessednmaya angelounndrmayaangelou rip mayaangelou,0,0,0,0,1,0,1,0,1,0,1
2017-En-10888,rage died,0,0,0,0,1,0,0,0,1,0,0
2017-En-10979,xboxmad robotbrush ballmer furious another delivery lost,1,0,1,0,0,0,0,0,1,0,0
2017-En-10457,simonpennr antisocialjw turned rather fiery gg radical,1,0,0,0,0,0,0,0,1,0,0
2017-En-40755,hannah hannah stop mournful chill,0,0,1,0,0,0,0,0,1,0,1
2017-En-40397,raveenelexiis fought racist girl stayed gavc get kicked call bs,1,0,1,0,0,0,0,0,1,0,0
2017-En-40371,dont wanna go work want money,0,0,1,0,1,0,0,1,1,0,0
2017-En-10233,luxbet even give pizzas serious fail hungry furious hangry,1,0,1,0,0,0,0,0,1,0,0
2017-En-11302,jbanks offense cant score redzone trips points n lbs cant pull flags n missed flag lead td dat took da league,0,0,1,0,0,0,0,0,1,0,0
2017-En-40141,wont even get started hillary fancy fundraisers depressing,0,0,1,0,0,0,0,0,1,0,0
2017-En-20474,dont know expect brendons video lmao la devotee video got shook panic,1,0,1,1,0,0,0,0,0,1,0
2017-En-40667,serious,0,0,1,0,0,0,0,0,0,1,0
2017-En-22178,samsteinhp stop presses realdonaldtrump saidproposed something racist shocking,1,0,1,0,0,0,0,0,0,1,0
2017-En-30310,nhlstorenyc im cheering teamnawch teameurwch nhlnycsweepstakes,0,1,0,0,1,0,1,0,0,1,0
2017-En-10385,trumpvideos looks completely rabid realdonaldtrump,0,0,0,0,1,0,0,0,0,1,0
2017-En-20439,vibaby imeb yall crackheads islands dont know find interesting shocking,0,1,1,0,1,0,1,0,0,1,0
2017-En-20761,policyexchange plus point wont queue loos plus points nope cant think shocking sexism,1,0,1,0,0,0,0,0,0,1,0
2017-En-21977,im awe,0,0,0,1,0,0,0,0,0,1,0
2017-En-10838,vale vale sip sangria taste tantalizing tapas elcidla fiery flamenco nights minutesfromhom silverlake la flamenco,0,0,0,0,1,0,0,0,0,1,0
2017-En-21397,tulsa police manufacture murder wonder carry burners maxlevelz shake,0,0,0,0,0,0,0,0,0,1,0
2017-En-11323,rvagamebreak gahsbasketball gajagsfootball ngo jags think good shot beating deep run tomorrow,0,1,0,0,1,0,0,0,0,0,1
2017-En-21783,youre one whod bully omg banter could laugh later haha youre nice guy x,0,0,0,0,1,0,1,0,0,0,1
2017-En-30149,ukedchat go outside gym hall play n education learning,0,0,0,0,1,0,0,0,0,0,1
2017-En-30140,zephaniah surely rejoicing us singingsuch romance needed today,0,0,0,0,1,0,1,0,0,0,1
2017-En-40870,refuse let get discouraged,0,0,0,0,1,0,1,0,0,0,1
2017-En-21181,alaskagurus adventuretweets agreed awe meet beautiful powerful animals,0,0,0,0,1,0,0,0,0,0,1
2017-En-21742,dont afraid space dreams reality dream make,0,0,0,1,0,0,1,0,0,0,1
2017-En-30853,gamegrumps thank much coming detroit im going sob joyful rainbows brb,0,0,0,0,1,1,1,0,0,0,1
2017-En-30150,way takerus eyes sparkling eating like cutest thing ever,0,0,0,0,1,1,1,0,0,0,1
2017-En-30283,accept challenges feel exhilaration victory focusx motivation motivationalquotes quoteoftheday,0,0,0,0,1,0,1,0,0,0,1
